image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.1.05,256,256,clean,0,4,16,4,11.991217370090267,22.470925784238716,,196748,117478,,5228,219.4373779296875,24.717697556510917,0.7421822683224967,33107926.0,0.6669530868530273
4.1.05,256,256,clean,0,8,16,4,7.9921951219512195,15.135016748260757,,196748,117478,,7762,78.89510345458984,29.160303108732112,0.7900641773765439,11837288.0,0.6565777063369751
4.1.05,256,256,clean,0,16,16,4,5.991223793271575,5.409245786904871,,196748,117478,,21718,39.24571228027344,32.19288145257607,0.8883494494390485,5881483.5,0.49977949261665344
4.1.05,256,256,clean,0,32,16,4,4.788776305533905,2.771361170087285,,196748,117478,,42390,22.82712745666504,34.546290971310725,0.9240480479846965,3412349.25,0.31536826491355896
4.1.05,256,256,clean,0,64,16,4,3.9844357976653697,1.7698067159794513,,196748,117478,,66379,14.600834846496582,36.48702672284773,0.9488279241524623,2176960.25,0.27385008335113525
4.1.05,256,256,noise,5,4,16,4,11.991217370090267,19.81079258010118,22.699325463743676,196748,117478,134607,5930,221.8575897216797,24.670060703987794,0.73704361577297,36473304.0,0.628318190574646
4.1.05,256,256,noise,5,8,16,4,7.9921951219512195,12.966666666666667,14.85728476821192,196748,117478,134607,9060,81.78125762939453,29.004265760324895,0.7845349109470224,15227975.0,0.5864341259002686
4.1.05,256,256,noise,5,16,16,4,5.991223793271575,3.7848513160862143,4.33670543509778,196748,117478,134607,31039,48.8988151550293,31.23782024809051,0.8418201095011572,8765893.0,0.26891201734542847
4.1.05,256,256,noise,5,32,16,4,4.788776305533905,1.9213018235342219,2.20143920189713,196748,117478,134607,61145,37.35222244262695,32.40763913595895,0.8366296301653141,5553814.0,0.24804946780204773
4.1.05,256,256,noise,5,64,16,4,3.9844357976653697,1.217880801567473,1.395455158043147,196748,117478,134607,96461,32.83012771606445,32.968077886389004,0.8358359577860234,3671241.5,0.22688667476177216
4.1.05,256,256,noise,10,4,16,4,11.991217370090267,13.684100174723355,17.639138031450205,196748,117478,151432,8585,235.0201873779297,24.419751926800462,0.7110590349425059,46379596.0,0.5594538450241089
4.1.05,256,256,noise,10,8,16,4,7.9921951219512195,9.21757551981169,11.881679089839153,196748,117478,151432,12745,97.5541763305664,28.238344944311176,0.7501650069028828,24985770.0,0.4693392217159271
4.1.05,256,256,noise,10,16,16,4,5.991223793271575,2.7441078227558338,3.537221742075635,196748,117478,151432,42811,89.0549545288086,28.63422274635567,0.6853433628165683,16059483.0,0.2423318326473236
4.1.05,256,256,noise,10,32,16,4,4.788776305533905,1.504835589941973,1.9397696850141546,196748,117478,151432,78067,91.72234344482422,28.506052187333154,0.6422550971499239,10304985.0,0.23147590458393097
4.1.05,256,256,noise,10,64,16,4,3.9844357976653697,1.0335641325673262,1.3322893113854113,196748,117478,151432,113663,96.18952178955078,28.299525952420108,0.6297675881147553,6831609.0,0.22435934841632843
4.1.05,256,256,noise,15,4,16,4,11.991217370090267,9.865468592542829,13.671397379912664,196748,117478,162799,11908,267.1619873046875,23.863056955307847,0.6641886067053676,62022676.0,0.49139803647994995
4.1.05,256,256,noise,15,8,16,4,7.9921951219512195,5.878897062503127,8.146874843617075,196748,117478,162799,19983,154.27914428710938,26.24773139491751,0.6115413814575635,39880140.0,0.30877557396888733
4.1.05,256,256,noise,15,16,16,4,5.991223793271575,2.2241617599727372,3.0822052670440563,196748,117478,162799,52819,188.19952392578125,25.38461840377457,0.5004785275828455,25528254.0,0.23768240213394165
4.1.05,256,256,noise,15,32,16,4,4.788776305533905,1.3448342968347546,1.863648331520806,196748,117478,162799,87355,193.60504150390625,25.26163698655766,0.4861140807226798,16788804.0,0.2236291468143463
4.1.05,256,256,noise,15,64,16,4,3.9844357976653697,0.9532689046309144,1.321023718526092,196748,117478,162799,123237,205.08714294433594,25.0114192586936,0.47713461677013574,10950679.0,0.22268734872341156
4.1.05,256,256,noise,20,4,16,4,11.991217370090267,7.829778725673154,11.462743268461743,196748,117478,171987,15004,319.2900695800781,23.088949493552132,0.6124336946479289,82439640.0,0.4318085014820099
4.1.05,256,256,noise,20,8,16,4,7.9921951219512195,3.4616495270648553,5.067831570262546,196748,117478,171987,33937,322.2092590332031,23.0494234468151,0.4103026433263957,57259192.0,0.23528631031513214
4.1.05,256,256,noise,20,16,16,4,5.991223793271575,1.9867413032081311,2.9085758739070875,196748,117478,171987,59131,308.714111328125,23.235238793227484,0.4023680498048548,36499752.0,0.23277802765369415
4.1.05,256,256,noise,20,32,16,4,4.788776305533905,1.2110759461047595,1.773007020401431,196748,117478,171987,97003,344.6278076171875,22.75730043625143,0.38234098459630933,23982166.0,0.22220870852470398
4.1.05,256,256,noise,20,64,16,4,3.9844357976653697,0.867201110225293,1.2695765789706794,196748,117478,171987,135468,361.7580261230469,22.54662185521113,0.37640442133366064,15711911.0,0.22179800271987915
4.1.05,256,256,noise,30,4,16,4,11.991217370090267,5.926647159721521,9.288820502472001,196748,117478,184123,19822,502.1427307128906,21.12253180873381,0.42009354028092677,134761904.0,0.34889745712280273
4.1.05,256,256,noise,30,8,16,4,7.9921951219512195,2.8624546185521793,4.486318559489291,196748,117478,184123,41041,621.7024536132812,20.194977795081087,0.2960092256371341,93365248.0,0.2327173799276352
4.1.05,256,256,noise,30,16,16,4,5.991223793271575,1.6879508031839996,2.6455214230293973,196748,117478,184123,69598,711.2843627929688,19.61037099797468,0.2720345078919379,62137840.0,0.2282804697751999
4.1.05,256,256,noise,30,32,16,4,4.788776305533905,1.0288661960729362,1.6125396297139654,196748,117478,184123,114182,755.533935546875,19.348263849926585,0.2655262740569511,40126772.0,0.2246888130903244
4.1.05,256,256,noise,30,64,16,4,3.9844357976653697,0.761395526692721,1.193333462956842,196748,117478,184123,154293,798.3163452148438,19.10905339496219,0.2615861719608607,25912248.0,0.22723530232906342
4.2.03,512,512,clean,0,4,16,4,11.997803136632697,10.877256132051215,,786572,634590,,58341,714.9800415039062,19.587864421237526,0.6315215526803036,107662600.0,0.4120335876941681
4.2.03,512,512,clean,0,8,16,4,7.998047351720771,6.336838321200683,,786572,634590,,100143,372.2796325683594,22.422110842657826,0.724142544578978,55909608.0,0.3496690094470978
4.2.03,512,512,clean,0,16,16,4,5.997803538743136,4.056132232250147,,786572,634590,,156452,209.99559020996094,24.908701859796516,0.8082456568184839,31517258.0,0.3138350546360016
4.2.03,512,512,clean,0,32,16,4,4.797189146984189,2.5521723567949746,,786572,634590,,248647,124.45816802978516,27.180569567986872,0.8679161052397729,18590192.0,0.28587231040000916
4.2.03,512,512,clean,0,64,16,4,3.9960975609756098,1.7306370677429912,,786572,634590,,366680,78.80561065673828,29.165232221788855,0.9076747541372722,11650733.0,0.2545012831687927
4.2.03,512,512,noise,5,4,16,4,11.997803136632697,10.677221792240132,10.88366928020998,786572,634590,646860,59434,721.83740234375,19.546409793890078,0.6274069072474838,110446976.0,0.4064860939979553
4.2.03,512,512,noise,5,8,16,4,7.998047351720771,6.181111565659517,6.300625328735901,786572,634590,646860,102666,381.590087890625,22.314832758377264,0.717767734578339,58424216.0,0.34242820739746094
4.2.03,512,512,noise,5,16,16,4,5.997803538743136,3.9869695789301733,4.064058907053014,786572,634590,646860,159166,221.0321044921875,24.686250021548833,0.8022463658809755,33431246.0,0.30693137645721436
4.2.03,512,512,noise,5,32,16,4,4.797189146984189,2.473061289706587,2.5208787183214407,786572,634590,646860,256601,138.02862548828125,26.73111197637686,0.8554833414049301,20374544.0,0.2623271942138672
4.2.03,512,512,noise,5,64,16,4,3.9960975609756098,1.6509744440946685,1.6828965614130025,786572,634590,646860,384373,95.00995635986328,28.35311242257179,0.8888100209298679,12977744.0,0.24834413826465607
4.2.03,512,512,noise,10,4,16,4,11.997803136632697,10.196182396606575,10.735595616825734,786572,634590,668162,62238,741.7306518554688,19.428341343616705,0.6135032789786609,118284488.0,0.3926667869091034
4.2.03,512,512,noise,10,8,16,4,7.998047351720771,5.846115579139375,6.155395259283826,786572,634590,668162,108549,411.4000244140625,21.988160477364964,0.7010442905251755,65321968.0,0.3235684335231781
4.2.03,512,512,noise,10,16,16,4,5.997803538743136,3.758105875316092,3.9569226395987185,786572,634590,668162,168859,257.9617004394531,24.015251297981507,0.7743747407654298,39228288.0,0.2806210517883301
4.2.03,512,512,noise,10,32,16,4,4.797189146984189,2.309792202781549,2.4319881778706334,786572,634590,668162,274739,186.36767578125,25.427097717726024,0.8124104194113572,24979826.0,0.24586065113544464
4.2.03,512,512,noise,10,64,16,4,3.9960975609756098,1.5463171437761338,1.6281226546585184,786572,634590,668162,410388,154.25730895996094,26.24834610102482,0.8249395408856556,16383109.0,0.23242636024951935
4.2.03,512,512,noise,15,4,16,4,11.997803136632697,9.628713622431949,10.49664673929536,786572,634590,691792,65906,777.3447265625,19.22466704174313,0.6003079282071101,130953056.0,0.3736673891544342
4.2.03,512,512,noise,15,8,16,4,7.998047351720771,5.407623283994171,5.895066935944304,786572,634590,691792,117351,468.8669738769531,21.420307179523398,0.6690756202909224,76083808.0,0.30942606925964355
4.2.03,512,512,noise,15,16,16,4,5.997803538743136,3.332598112583303,3.6329988078920694,786572,634590,691792,190419,332.55413818359375,22.912180044604288,0.7278747858878519,48079200.0,0.2628248631954193
4.2.03,512,512,noise,15,32,16,4,4.797189146984189,2.0842721354765392,2.272148614295192,786572,634590,691792,304466,282.4438171386719,23.621482886532277,0.7371197143835125,31595814.0,0.23235931992530823
